Nombre;Codigo_Postal;Calle;Municipio;Distrito;Latitud;Longitud;Provincia;Pais;Tipo_Cocina;Sitio_Web;Direccion_Completa
Restaurante Cueva de Nerja;29787;Sendero de la Cueva;Nerja;Urbanización Puente Águila;36.7617169;-3.8450181;La Axarquía;España;No especificado;No disponible;Restaurante Cueva de Nerja, Sendero de la Cueva, Urbanización Puente Águila, Maro, Nerja, La Axarquía, Málaga, Andalucía, 29787, España
Chino Chang;29640;Calle Rio Guadalhorce;Fuengirola;Los Boliches;36.5573544;-4.6133958;Costa del Sol Occidental;España;No especificado;No disponible;Chino Chang, Calle Rio Guadalhorce, Los Boliches, Fuengirola, Costa del Sol Occidental, Málaga, Andalucía, 29640, España
Duquesa de Parcent;29400;Calle Tenorio;Ronda;;36.7394771;-5.1662238;Serranía de Ronda;España;No especificado;No disponible;Duquesa de Parcent, Calle Tenorio, Ronda, Serranía de Ronda, Málaga, Andalucía, 29400, España
Bar Clemente;29400;Camino de las Monjas;Ronda;;36.738201;-5.1630797;Serranía de Ronda;España;No especificado;No disponible;Bar Clemente, Camino de las Monjas, Ronda, Serranía de Ronda, Málaga, Andalucía, 29400, España
El Mirlo Blanco;29650;Calle Cuesta de la Villa;Mijas;;36.5942341;-4.6387693;Costa del Sol Occidental;España;No especificado;No disponible;El Mirlo Blanco, Calle Cuesta de la Villa, Mijas Pueblo, Las Lomas de Mijas, Mijas, Costa del Sol Occidental, Málaga, Andalucía, 29650, España
Bamboo;29780;Plaza de los Cangrejos;Nerja;;36.7420704;-3.8804621;La Axarquía;España;No especificado;No disponible;Bamboo, Plaza de los Cangrejos, Nerja, La Axarquía, Málaga, Andalucía, 29780, España
Mirasol;29640;Calle Virgen de Montserrat;Mijas;;36.5372141;-4.6306502;Costa del Sol Occidental;España;No especificado;No disponible;Mirasol, Calle Virgen de Montserrat, Las Lagunas, Mijas, Costa del Sol Occidental, Málaga, Andalucía, 29640, España
Jamaica;29620;Calle Jamaica;Torremolinos;;36.619667;-4.5071512;Costa del Sol Occidental;España;No especificado;No disponible;Jamaica, Calle Jamaica, Torremolinos, Costa del Sol Occidental, Málaga, Andalucía, 29620, España
Restaurante El Paraíso;29760;Calle Nueva;Algarrobo-Costa;;36.7471821;-4.0553217;La Axarquía;España;No especificado;No disponible;Restaurante El Paraíso, Calle Nueva, Algarrobo-Costa, Algarrobo, La Axarquía, Málaga, Andalucía, 29760, España
Cochran's Terraza;29780;Calle Salón;Nerja;;36.7442752;-3.8765846;La Axarquía;España;No especificado;No disponible;Cochran's Terraza, Calle Salón, Nerja, La Axarquía, Málaga, Andalucía, 29780, España
La Biznaga;29620;Plaza de la Nogalera;Torremolinos;;36.6220886;-4.4993663;Costa del Sol Occidental;España;No especificado;No disponible;La Biznaga, Plaza de la Nogalera, Torremolinos, Costa del Sol Occidental, Málaga, Andalucía, 29620, España
La Farola;29793;Avenida de España;Torrox;;36.7331772;-3.979344;La Axarquía;España;No especificado;No disponible;La Farola, 8, Avenida de España, Generación del 27, Los Llanos, Torrox, La Axarquía, Málaga, Andalucía, 29793, España
Virtudes;29788;Calle San Sebastián;Frigiliana;;36.7907452;-3.8947811;La Axarquía;España;No especificado;No disponible;Virtudes, 1, Calle San Sebastián, La Molineta, Frigiliana, La Axarquía, Málaga, Andalucía, 29788, España
